orf,Uniprot,Names,Localization1,Localization2
YAL002W,P39702,VPS8,Cytoplasm,Golgi
YOR070C,Q08484,GYP1,Cytoplasm,Golgi
YDR372C,Q06385,VPS74,Cytoplasm,Golgi
YKL004W,P36107,AUR1,Cytoplasm,Golgi
YER031C,P38555,YPT31,Cytoplasm,Golgi
YGL210W,P51996,YPT32,Cytoplasm,Golgi
YMR079W,P24280,SEC14,Cytoplasm,Golgi
YGL223C,P53079,COG1,Cytoplasm,Golgi
YNL051W,P53951,COG5,Cytoplasm,Golgi
YNL041C,P53959,COG6,Cytoplasm,Golgi
YGL005C,P53195,COG7,Cytoplasm,Golgi
YML071C,Q04632,COG8,Cytoplasm,Golgi
YLR260W,Q06147,LCB5,Cytoplasm,Golgi
YIL041W,P40531,GVP36,Cytoplasm,Golgi
YGR120C,P53271,COG2,Cytoplasm,Golgi
YGR170W,P53037,PSD2,Cytoplasm,Golgi
YER157W,P40094,COG3,Cytoplasm,Golgi
YDR358W,Q06336,GGA1,Cytoplasm,Golgi
YHR108W,P38817,GGA2,Cytoplasm,Golgi
YEL048C,P32613,TCA17,Cytoplasm,Golgi
YLL040C,Q07878,VPS13,Cytoplasm,Golgi
YLR360W,Q05919,VPS38,Cytoplasm,Golgi
YDR484W,P39904,VPS52,Cytoplasm,Golgi
YJL029C,P47061,VPS53,Cytoplasm,Golgi
YDR027C,Q12071,VPS54,Cytoplasm,Golgi
YPR079W,Q06815,MRL1,Cytoplasm,Golgi
YOL018C,Q08144,TLG2,Cytoplasm,Golgi
YBL017C,P32319,PEP1,Cytoplasm,Golgi
YDR270W,P38995,CCC2,Cytoplasm,Golgi
YNL238W,P13134,KEX2,Cytoplasm,Golgi
YDR468C,Q03322,TLG1,Cytoplasm,Golgi
YLR330W,Q12114,CHS5,Cytoplasm,Golgi
YJL099W,P40955,CHS6,Cytoplasm,Golgi
YMR237W,Q05029,BCH1,Cytoplasm,Golgi
YKR027W,P36122,BCH2,Cytoplasm,Golgi
YOR299W,Q08754,BUD7,Cytoplasm,Golgi
YBR097W,P22219,VPS15,Cytoplasm,Golgi
YLR240W,P22543,VPS34,Cytoplasm,Golgi
