uniprot,gene,name
P48376,ZC395.2,clk-1
Q8MNU7,C35D10.17,
P34391,F09G8.6,col-91
G5ECH7,T27E9.3,cdk-5
Q95PZ0,Y67H2A.6,csn-6
Q9U7E0,B0041.7,xnp-1
P41956,T07C4.7,mev-1
Q10651,C42D8.8,apl-1
Q22566,T19C3.1,best-17
Q9U9K0,F39C12.2,add-1
G5EEN8,T14G12.2,aex-4
Q17529,B0564.4,best-2
H2L0N8,Y37E3.5,arl-13
O62247,F45G2.5,bli-5
Q22258,T06E4.3,atl-1
Q21966,R12H7.2,asp-4
P34672,ZK688.2,best-24
P08124,F23H12.4,sqt-3
Q94177,C43G2.1,paqr-1
Q09289,C56G2.7,rpn-13
Q20758,F54C9.10,arl-1
P35603,R160.1,dpy-23
Q17335,H24K24.3,
Q21286,K07E3.7,catp-5
O18017,T04A11.6,him-6
G5ECJ5,C50B8.2,bir-2
Q20026,F35C8.7,chtl-1
Q21153,K02F3.2,
Q22021,R53.4,
Q20799,F55A11.4,
Q21227,K04G2.8,1-Apr
O62220,F33H2.3,
P54145,C05E11.4,amt-1
Q27520,T10B9.8,cyp-13A1
Q21988,R13G10.2,amx-1
Q6QMT2,Y39E4B.9,bre-2
P34508,K04H4.6,crn-6
Q9TYP2,H14E04.5,cic-1
Q93833,F59C6.7,che-13
O16883,C10F3.1,cpg-4
Q17868,C09G4.3,cks-1
Q09457,C09G5.6,bli-1
P91863,F32A7.6,aex-5
P20630,F15H10.1,col-12
P34539,R05D3.6; ZC262.5,; 
G5EFF1,T21G5.5,asd-2
P46562,F01F1.6,alh-9
O45218,Y50D7A.7,ads-1
Q9U2X0,Y113G7B.17,prmt-1
Q17851,C09B9.3,best-6
Q93235,C17E4.9,nkb-1
Q9XW70,Y75B8A.12,osm-12
Q94316,ZK154.7,adm-4
P91455,T19B4.3,
P53585,D1005.1,acly-1
P34426,F44B9.5,
Q23402,ZK1127.4,
Q09300,EEED8.11,clec-141
Q21776,R06C7.8,bub-1
P58798,C35D10.16,arx-6
P24894,MTCE.31,ctc-2
Q18446,C34D4.13,mutd-1
Q22460,T13C5.5,bca-1
Q09585,K06A1.1,aptf-1
Q20932,F57B9.5,byn-1
O45363,F14H3.2,best-12
O45435,F32B6.9,best-13
Q21973,R13.3,best-15
G5EEU3,D2030.10,aex-1
G5ECD9,T14B1.2,aex-2
Q17528,B0564.3,best-1
P51559,K04F10.4,bli-4
Q03611,ZC84.2,tax-4
Q5CZ52,F58A4.14,bbs-4
P18835,ZK1193.1,col-19
O02039,T23C6.3,cnp-3
Q22361,T09E8.3,cni-1
Q23369,ZC518.1,best-22
Q9XWV3,Y37D8A.1,arx-5
O18303,ZK849.4,best-25
