orf	Mw	PI	Protein.Length	GRAVY.Score	Aromaticity.Score	CAI	Codon.Bias	FOP.Score	Ala	Cys	Asp	Glu	Phe	Gly	His	Ile	Lys	Leu	Met	Asn	Pro	Gln	Arg	Ser	Thr	Val	Trp	Tyr	INSTABILITY.INDEX..II.	ALIPHATIC.INDEX	mRNA	abundance	density	occupancy	transcripthl	transcriptsyn	halflife	noise	hydro	AP	ID	tAI	GC	helix	sheet	coil	TF	kinase	PPI	ePPI
Q0010	15626.7	4.5	128	0.92	0.27	0.1	-0.56	0	0	0.0078125	0.0234375	0.0078125	0.0859375	0.03125	0	0.1640625	0.015625	0.1015625	0.0703125	0.0625	0.0703125	0	0.0078125	0.0625	0.0390625	0.0625	0.015625	0.171875	44.54	110.74	NA	NA	NA	NA	NA	NA	NA	NA	1.09649	5118.46	0.0078125	NA	0.237726	0.609375	0.132812	0.257812	NA	NA	NA	0
Q0017	6276.5	10.16	53	-0.09	0.13	0.1	0.23	0.46	0.018867925	0.018867925	0.018867925	0	0.037735849	0.037735849	0.018867925	0.113207547	0.037735849	0.094339623	0.056603774	0.132075472	0.056603774	0	0.075471698	0.018867925	0.132075472	0.037735849	0	0.094339623	33.11	87.64	NA	NA	NA	NA	NA	NA	NA	NA	0.602011	898.12	0.0188679	NA	0.290123	0.113208	0.471698	0.415094	NA	NA	NA	0
Q0032	12477.2	9.68	96	0.29	0.28	0.07	-0.47	0.23	0	0	0	0	0.0625	0	0.03125	0.083333333	0.052083333	0.125	0.166666667	0.104166667	0.010416667	0	0.010416667	0.052083333	0.072916667	0.010416667	0.041666667	0.177083333	41.85	73.04	NA	NA	NA	NA	NA	NA	NA	NA	0.642292	3796.68	0.0104167	NA	0.113402	0.604167	0.208333	0.1875	NA	NA	NA	0
Q0045	58795.3	7.12	534	0.74	0.15	0.14	0.63	0.74	0.082397004	0.001872659	0.024344569	0.016853933	0.082397004	0.080524345	0.029962547	0.0917603	0.018726592	0.127340824	0.039325843	0.050561798	0.046816479	0.016853933	0.016853933	0.080524345	0.058052434	0.071161049	0.018726592	0.04494382	27.72	111.72	NA	NA	0.02	0.66	NA	NA	NA	NA	0.940026	15537.9	0.00374532	NA	0.299066	0.342697	0.0543071	0.602996	NA	NA	55	4
Q0050	96146.9	10.44	834	-0.33	0.09	0.12	0.41	0.59	0.037170264	0.01558753	0.040767386	0.034772182	0.035971223	0.061151079	0.020383693	0.07793765	0.099520384	0.089928058	0.063549161	0.082733813	0.035971223	0.016786571	0.055155875	0.053956835	0.073141487	0.049160671	0.009592326	0.04676259	30.69	78.81	NA	NA	0.12	0.65	NA	NA	NA	NA	0.303985	6395.34	0.104317	NA	0.249501	0.364508	0.107914	0.527578	NA	NA	23	4
Q0055	98065.2	10.12	854	-0.23	0.1	0.16	0.44	0.6	0.035128806	0.024590164	0.038641686	0.036299766	0.044496487	0.06088993	0.035128806	0.076112412	0.086651054	0.103044496	0.042154567	0.086651054	0.029274005	0.015222482	0.052693208	0.073770492	0.046838407	0.058548009	0.007025761	0.046838407	31.17	85.69	NA	NA	0.09	0.71	NA	NA	NA	NA	0.373188	6697.61	0.104215	NA	0.265107	0.373536	0.0901639	0.5363	NA	NA	12	0
Q0060	47936.9	9.88	415	-0.3	0.13	0.12	0.5	0.66	0.048192771	0.007228916	0.031325301	0.036144578	0.038554217	0.055421687	0.014457831	0.060240964	0.079518072	0.113253012	0.045783133	0.127710843	0.01686747	0.021686747	0.03373494	0.069879518	0.057831325	0.053012048	0.014457831	0.074698795	26.79	82.44	NA	NA	NA	NA	NA	NA	NA	NA	0.436773	6329.99	0.0578313	NA	0.216346	0.354217	0.13494	0.510843	NA	NA	21	0
Q0065	63336.2	10.14	556	0.13	0.13	0.12	0.55	0.69	0.052158273	0.005395683	0.035971223	0.023381295	0.064748201	0.064748201	0.014388489	0.077338129	0.079136691	0.120503597	0.053956835	0.082733813	0.025179856	0.028776978	0.023381295	0.071942446	0.059352518	0.053956835	0.021582734	0.041366906	34.43	93.52	NA	NA	0.06	0.71	NA	NA	NA	NA	0.637364	9942.87	0.00359712	NA	0.23459	0.446043	0.0971223	0.456835	NA	NA	27	3
Q0070	72191.6	9.86	630	0.29	0.13	0.12	0.53	0.68	0.042857143	0.011111111	0.025396825	0.022222222	0.057142857	0.063492063	0.023809524	0.092063492	0.06031746	0.119047619	0.066666667	0.076190476	0.03968254	0.015873016	0.028571429	0.068253968	0.053968254	0.057142857	0.014285714	0.061904762	35.84	98.3	NA	NA	0.05	0.79	NA	NA	NA	NA	0.695144	12661.5	0.015873	NA	0.228738	0.320635	0.165079	0.514286	NA	NA	7	0
Q0075	42297.9	9.84	354	-0.36	0.16	0.14	0.15	0.44	0.028248588	0.005649718	0.033898305	0.050847458	0.059322034	0.039548023	0.014124294	0.073446328	0.115819209	0.13559322	0.04519774	0.110169492	0.025423729	0.028248588	0.019774011	0.042372881	0.053672316	0.02259887	0.008474576	0.087570621	47.18	84.33	NA	NA	NA	NA	NA	NA	NA	NA	0.281917	3677.12	0.0338983	NA	0.165258	0.387006	0.19209	0.420904	NA	NA	3	0
