orf,localization,GPI,First signal position,SRP dependent,Loop,ORF length (codons),Signal to stop codon length,Pronounced direct SRP binding,Position of direct SRP binding,SRP binding unambiguously assigned,SRP prerecruitment
Q0045,mito,No,,,,534,,,,,
Q0050,mito,No,,,,834,,,,,
Q0055,mito,No,,,,854,,,,,
Q0060,mito,No,,,,415,,,,,
Q0065,mito,No,,,,556,,,,,
Q0070,mito,No,,,,630,,,,,
Q0075,mito,No,,,,354,,,,,
Q0080,mito,No,,,,48,,,,,
Q0085,mito,No,,,,259,,,,,
Q0105,mito,No,,,,385,,,,,
Q0110,mito,No,,,,423,,,,,
Q0115,mito,No,,,,517,,,,,
Q0120,mito,No,,,,638,,,,,
Q0130,mito,No,,,,76,,,,,
Q0140,mito,No,,,,398,,,,,
Q0160,mito,No,,,,235,,,,,
Q0250,mito,No,,,,251,,,,,
Q0255,mito,No,,,,472,,,,,
Q0275,mito,No,,,,269,,,,,
YAL001C,Cytonuclear,No,,,,1160,,,,,
YAL002W,Cytonuclear,No,,,,1274,,,,,
YAL003W,Cytonuclear,No,,,,206,,,,,
YAL005C,Cytonuclear,No,,,,642,,,,,
YAL007C,SSTMD,No,5,Dependent,No,215,210,No,,,No
YAL008W,mito,No,,Independent,Yes,198,,,,,
YAL009W,TMD,No,72,,,259,187,No,,,Yes
YAL010C,mito,No,,,,493,,,,,
YAL011W,Cytonuclear,No,,,,625,,,,,
YAL012W,Cytonuclear,No,,,,394,,,,,
YAL013W,Cytonuclear,No,,,,405,,,,,
YAL014C,TA,No,235,,No,255,20,,,,
YAL015C,Cytonuclear,No,,,,399,,,,,
YAL016W,Exception,No,,,,635,,,,,
YAL017W,Cytonuclear,No,,,,1356,,,,,
YAL018C,Exception,No,,,,325,,,,,
YAL019W,Cytonuclear,No,,,,1131,,,,,
YAL020C,Cytonuclear,No,,,,333,,,,,
YAL021C,Cytonuclear,No,,,,837,,,,,
YAL022C,TMD,No,77,,No,517,440,Yes,207,No,Yes
YAL023C,Exception,No,,Dependent,No,759,,,,,
YAL024C,Cytonuclear,No,,,,1435,,,,,
YAL025C,mito,No,,,,306,,,,,
YAL026C,Exception,No,,,No,1355,,,,,
YAL027W,Cytonuclear,No,,,,261,,,,,
YAL028W,TA,No,506,,,528,22,,,,
YAL029C,Cytonuclear,No,,,,1471,,,,,
YAL030W,TA,No,94,,,117,23,,,,
YAL031C,Exception,No,,,,760,,,,,
YAL032C,Cytonuclear,No,,,,379,,,,,
YAL033W,Cytonuclear,No,,,,173,,,,,
YAL034C,Cytonuclear,No,,,,413,,,,,
YAL034W-A,Cytonuclear,No,,,,289,,,,,
YAL035W,Cytonuclear,No,,,,1002,,,,,
YAL036C,Cytonuclear,No,,,,369,,,,,
YAL037C-A,Exception,No,,,,30,,,,,
YAL037W,Cytonuclear,No,,,,267,,,,,
YAL038W,Cytonuclear,No,,,,500,,,,,
YAL039C,mito,No,,,,269,,,,,
YAL040C,Exception,No,,,,580,,,,,
YAL041W,Cytonuclear,No,,,,854,,,,,
YAL042W,Exception,No,,Dependent,No,415,,,,,
YAL043C,Exception,No,,,,785,,,,,
YAL044C,mito,No,,,,170,,,,,
YAL044W-A,Cytonuclear,No,,,,110,,,,,
YAL046C,Cytonuclear,No,,,,118,,,,,
YAL047C,Cytonuclear,No,,,,622,,,,,
YAL048C,TA,No,633,,,662,29,,,,
YAL049C,Cytonuclear,No,,,,246,,,,,
YAL051W,Exception,No,,,,1047,,,,,
YAL053W,SSTMD,No,10,Independent,Yes,783,773,No,,,Yes
YAL054C,Cytonuclear,No,,,,713,,,,,
YAL055W,TMD,No,13,Dependent,,180,167,,,,
YAL056W,mito,No,,,,880,,,,,
YAL058W,SSTMD,No,7,Independent,,502,495,No,,,Yes
YAL059W,Exception,No,,,,212,,,,,
YAL060W,Cytonuclear,No,,,,382,,,,,
YAL061W,Cytonuclear,No,,,,417,,,,,
YAL062W,Cytonuclear,No,,,,457,,,,,
YAL063C,SS,Yes,7,Independent,,1322,1315,,,,
YAL063C-A,Cytonuclear,No,,,,96,,,,,
YAL064C-A,Cytonuclear,No,,,,126,,,,,
YAL064W,Cytonuclear,No,,,,94,,,,,
YAL064W-B,Exception,No,,Dependent,,126,,,,,
YAL065C,Exception,No,,,,128,,,,,
YAL067C,TMD,No,131,,,593,462,,,,
YAL067W-A,Cytonuclear,No,,,,75,,,,,
YAL068C,SS,No,4,Independent,,113,109,,,,
YAR002C-A,SSTMD,No,3,Independent,Yes,219,216,No,,,Yes
YAR002W,Cytonuclear,No,,,,539,,,,,
YAR003W,Cytonuclear,No,,,,426,,,,,
YAR007C,Cytonuclear,No,,,,621,,,,,
YAR008W,mito,No,,,,275,,,,,
YAR009C,Cytonuclear,No,,,,1196,,,,,
YAR010C,Cytonuclear,No,,,,440,,,,,
YAR014C,Cytonuclear,No,,,,709,,,,,
YAR015W,Cytonuclear,No,,,,306,,,,,
YAR018C,Cytonuclear,No,,,,435,,,,,
YAR019C,Cytonuclear,No,,,,974,,,,,
YAR020C,SS,No,4,Independent,,55,51,,,,
YAR023C,Exception,No,,Independent,,179,,,,,
YAR027W,TMD,No,50,Dependent,No,235,185,Yes,116,No,Yes
YAR028W,TMD,No,49,Dependent,No,234,185,Yes,121,No,Yes
YAR029W,Cytonuclear,No,,,,74,,,,,
YAR031W,TMD,No,112,,,298,186,,,,
YAR033W,TMD,No,45,Dependent,,234,189,,,,
YAR035C-A,Cytonuclear,No,,,,26,,,,,
YAR035W,Cytonuclear,No,,,,687,,,,,
YAR042W,Cytonuclear,No,,,,1188,,,,,
YAR050W,SS,Yes,9,Independent,,1537,1528,,,,
YAR064W,Exception,No,,,,99,,,,,
YAR066W,SS,No,8,Independent,,203,195,,,,
YAR068W,Exception,No,,,,161,,,,,
YAR071W,SS,No,4,Independent,,467,463,,,,
YBL001C,Exception,No,,,,104,,,,,
YBL002W,Cytonuclear,No,,,,131,,,,,
YBL003C,Cytonuclear,No,,,,132,,,,,
YBL004W,Cytonuclear,No,,,,2493,,,,,
YBL005W,Cytonuclear,No,,,,976,,,,,
YBL005W-A,Cytonuclear,No,,,,440,,,,,
YBL005W-B,Cytonuclear,No,,,,1755,,,,,
YBL006C,Cytonuclear,No,,,,180,,,,,
YBL007C,Exception,No,,,,1244,,,,,
YBL008W,Cytonuclear,No,,,,840,,,,,
YBL008W-A,SS,No,6,Independent,,79,73,,,,
YBL009W,Cytonuclear,No,,,,676,,,,,
YBL010C,Cytonuclear,No,,,,280,,,,,
YBL011W,Exception,No,,,,759,,,,,
YBL013W,mito,No,,,,401,,,,,
YBL014C,Cytonuclear,No,,,,894,,,,,
YBL015W,mito,No,,,,526,,,,,
YBL016W,Cytonuclear,No,,,,353,,,,,
YBL017C,SSTMD,No,3,Independent,No,1579,1576,No,,,Yes
YBL018C,Cytonuclear,No,,,,133,,,,,
YBL019W,Cytonuclear,No,,,,520,,,,,
YBL020W,TMD,No,21,Independent,,574,553,No,,,Yes
YBL021C,Cytonuclear,No,,,,144,,,,,
YBL022C,mito,No,,,,1133,,,,,
YBL023C,Cytonuclear,No,,,,868,,,,,
YBL024W,Cytonuclear,No,,,,684,,,,,
